prompt_id,word_count,descriptor_words,num_visual_attributes,prompt,filename,vqascore
1,20,1,1,"A photorealistic close-up of a single glass of red wine filled completely to the brim, against a simple neutral background",wine_descriptive_0.png,0.8807734847068787
2,30,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small wooden table, with deep red liquid touching the rim and soft warm lighting illuminating the clear glass",wine_descriptive_1.png,0.07586115598678589
3,38,1,3,"A photorealistic close-up of a single, full-to-the-brim glass of red wine on a small white table, the deep crimson liquid reaching exactly to the rim, with clear reflections on the transparent glass and a soft, neutral gray background",wine_descriptive_2.png,0.8519420027732849
4,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_3.png,6.377696990966797e-06
5,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, sharp focus, natural lighting",wine_descriptive_4.png,0.22270452976226807
6,29,2,3,"A full-to-the-brim glass of red wine on a small wooden table, with deep ruby liquid touching the rim, in a bright modern kitchen, photorealistic, high resolution, soft natural lighting",wine_descriptive_5.png,0.777297854423523
7,17,3,1,"A full-to-the-brim glass of red wine on a simple table, softly lit in a cozy room, photorealistic",wine_descriptive_6.png,8.940696716308594e-07
8,36,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a dimly lit, cozy bar, captured in a sharp, photorealistic style, with rich crimson liquid and clear reflective glass as the main visual focus.",wine_descriptive_7.png,0.0024734139442443848
9,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",wine_descriptive_8.png,4.947185516357422e-06
10,16,4,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic style",wine_descriptive_9.png,0.04742652177810669
11,29,4,2,"A full-to-the-brim glass of red wine on a small wooden table, in a softly lit cozy room, highly detailed and photorealistic, with rich deep-red liquid and clear reflective glass",wine_descriptive_10.png,0.00015860795974731445
12,24,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",wine_descriptive_11.png,4.172325134277344e-07
13,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",wine_descriptive_12.png,5.906820297241211e-05
14,29,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, against a soft neutral background, with realistic reflections and subtle shadows.",wine_descriptive_13.png,0.0007100105285644531
15,33,1,3,"Photorealistic close-up of a single, perfectly full glass of red wine filled exactly to the brim, with deep ruby liquid, clear transparent glass, and a dark wooden table background, studio lighting, high resolution.",wine_descriptive_14.png,0.977016270160675
16,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_15.png,0.0011702775955200195
