prompt_id,word_count,descriptor_words,sentence_count,num_visual_attributes,spatial_constraints,ambiguity,prompt,filename,vqascore
1,10,1,1,1,none,clear,A photorealistic glass of red wine on a plain background.,wine_control_0.png,0.9999995827674866
2,10,1,1,1,none,partially ambiguous,A photorealistic glass of red wine on a plain background,wine_control_1.png,0.9999997019767761
3,10,1,1,1,none,fully ambiguous,A photorealistic glass of red wine on a plain background,wine_control_2.png,0.999999463558197
4,16,1,1,1,top,clear,A single photorealistic glass of red wine viewed from directly above on a plain neutral surface.,wine_control_3.png,0.9999988675117493
5,16,1,1,1,top,partially ambiguous,"A single photorealistic glass of red wine seen from directly above on a plain, neutral surface.",wine_control_4.png,0.9999987483024597
6,17,1,1,1,top,fully ambiguous,A single photorealistic glass of red wine seen from a top-down perspective on a plain neutral surface.,wine_control_5.png,0.9999997019767761
7,30,1,1,1,bottom,clear,"A single photorealistic glass of red wine on a plain surface, viewed from a low angle near the base of the glass, with soft lighting highlighting the deep red liquid.",wine_control_6.png,0.9999989867210388
8,30,1,1,1,bottom,partially ambiguous,"A single photorealistic glass of red wine on a plain surface, viewed from a low angle near the base of the glass, with soft lighting highlighting the deep red liquid.",wine_control_7.png,0.9999997019767761
9,25,1,1,1,bottom,fully ambiguous,"A single photorealistic glass of red wine on a plain surface, viewed from a slightly low angle so the bowl and stem dominate the frame.",wine_control_8.png,0.999999463558197
10,16,1,1,1,side,clear,Photorealistic close-up side view of a single glass of red wine on a plain neutral background.,wine_control_9.png,1.0
11,20,1,1,1,side,partially ambiguous,"Photorealistic side view of a single glass of red wine on a plain surface, softly lit against a neutral background.",wine_control_10.png,0.9999992251396179
12,16,1,1,1,side,fully ambiguous,Photorealistic close-up side view of a single glass of red wine on a plain neutral background.,wine_control_11.png,0.9999998211860657
13,19,1,1,2,none,clear,A photorealistic glass of red wine with deep crimson liquid and a clear reflective surface on a neutral background.,wine_control_12.png,0.999999463558197
14,18,1,1,2,none,partially ambiguous,A photorealistic glass of red wine with a clear bowl and deep crimson liquid on a plain background.,wine_control_13.png,0.9999986290931702
15,19,1,1,2,none,fully ambiguous,A photorealistic glass of red wine with deep crimson liquid and a clear reflective surface on a neutral background.,wine_control_14.png,0.999999463558197
16,24,1,1,2,top,clear,"A single photorealistic glass of red wine, viewed from directly above on a plain neutral surface, with deep crimson liquid and clear reflective glass.",wine_control_15.png,0.9999998211860657
17,20,1,1,2,top,partially ambiguous,"A single photorealistic glass of red wine, richly colored and glossy, viewed clearly from above on a plain neutral surface.",wine_control_16.png,0.9999989867210388
18,20,1,1,2,top,fully ambiguous,"A single photorealistic glass of red wine, vividly crimson and crystal-clear, viewed from directly above on a plain white background.",wine_control_17.png,0.9999991059303284
19,32,1,1,2,bottom,clear,"A single photorealistic glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid and a clear reflective surface.",wine_control_18.png,0.9999982714653015
20,26,1,1,2,bottom,partially ambiguous,"A single photorealistic glass of red wine, small and transparent, viewed from a low angle near the bottom of the frame on a plain neutral surface.",wine_control_19.png,0.999998152256012
21,32,1,1,2,bottom,fully ambiguous,"A single photorealistic glass of red wine with a deep ruby color and clear reflective surface, viewed from a low angle near the base of the glass on a simple neutral background.",wine_control_20.png,0.9999995827674866
22,26,1,1,2,side,clear,"Photorealistic close-up side view of a single elegant glass of deep red wine on a reflective surface, with soft natural lighting illuminating the rich crimson liquid.",wine_control_21.png,0.9999995827674866
23,22,1,1,2,side,partially ambiguous,"Photorealistic close-up side view of a single elegant glass of deep red wine on a reflective surface, softly lit from the left.",wine_control_22.png,0.9999995827674866
24,23,1,1,2,side,fully ambiguous,"Photorealistic side view of a single elegant glass of red wine on a plain surface, with deep ruby liquid and clear reflective glass.",wine_control_23.png,0.9999997019767761
25,24,1,1,3,none,clear,"A photorealistic close-up of a single glass of red wine on a plain surface, with deep ruby liquid, transparent clean glass, and subtle reflections.",wine_control_24.png,0.999999463558197
26,20,1,1,3,none,partially ambiguous,"A single photorealistic glass of red wine with a clear bowl, slender stem, and reflective base on a neutral background.",wine_control_25.png,0.9999997019767761
27,20,1,1,3,none,fully ambiguous,"A single photorealistic glass of red wine on a plain background, with deep crimson liquid, transparent glass, and subtle reflections.",wine_control_26.png,0.9999995827674866
28,25,1,1,3,top,clear,"A single photorealistic glass of red wine viewed from above on a white table, with deep ruby liquid, clear reflective glass, and a soft shadow.",wine_control_27.png,0.9999988675117493
29,24,1,1,3,top,partially ambiguous,"Photorealistic close-up top-down view of a single clear glass of deep red wine on a white table, with soft natural lighting and subtle reflections.",wine_control_28.png,0.9999998211860657
30,28,1,1,3,top,fully ambiguous,"Photorealistic close-up top-down view of a single elegant glass of deep red wine on a white table, with rich crimson liquid, clear reflective glass, and subtle soft lighting.",wine_control_29.png,0.9999995827674866
31,35,1,1,3,bottom,clear,"A single photorealistic glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark blurred background.",wine_control_30.png,0.9999997019767761
32,31,1,1,3,bottom,partially ambiguous,"A single photorealistic glass of red wine, small and transparent with deep crimson liquid, viewed from a low angle near the bottom of the glass against a softly lit neutral background.",wine_control_31.png,0.999998152256012
33,35,1,1,3,bottom,fully ambiguous,"A single photorealistic glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark blurred background.",wine_control_32.png,0.999999463558197
34,31,1,1,3,side,clear,"Photorealistic close-up side view of a single clear glass of deep red wine on a reflective white surface, with soft natural lighting highlighting the rich crimson color and subtle glass reflections.",wine_control_33.png,0.9999998211860657
35,31,1,1,3,side,partially ambiguous,"Photorealistic close-up side view of a single elegant glass of red wine on a reflective wooden table, with deep ruby liquid, clear transparent glass, and soft natural light illuminating subtle reflections.",wine_control_34.png,0.9999998211860657
36,26,1,1,3,side,fully ambiguous,"Photorealistic close-up side view of a single clear glass of deep red wine on a reflective surface, with soft natural lighting and a neutral blurred background.",wine_control_35.png,0.9999991059303284
37,25,1,2,1,none,clear,A photorealistic glass of red wine on a plain background. High-resolution studio lighting emphasizes the rich red color of the wine in the clear glass.,wine_control_36.png,0.9999995827674866
38,20,1,2,1,none,partially ambiguous,"A single glass of red wine on a plain surface, photorealistic. The scene is evenly lit with a neutral background.",wine_control_37.png,0.9999989867210388
39,25,1,2,1,none,fully ambiguous,A photorealistic glass of red wine on a plain background. The focus is on the wine’s rich color and the clear contours of the glass.,wine_control_38.png,0.9999986290931702
40,43,1,2,1,top,clear,"Photorealistic close-up top-down view of a single elegant glass of red wine on a plain neutral surface, with soft natural lighting highlighting the deep crimson liquid. The focus is on the circular rim and rich color of the wine seen directly from above.",wine_control_39.png,0.9999998211860657
41,33,1,2,1,top,partially ambiguous,"Photorealistic close-up top-down view of a single glass of red wine on a plain neutral surface. The scene is minimal, with soft natural lighting emphasizing the deep red liquid seen from directly above.",wine_control_40.png,0.9999988675117493
42,33,1,2,1,top,fully ambiguous,"Photorealistic close-up top-down view of a single glass of red wine on a plain neutral surface. The scene is minimal, with soft natural lighting emphasizing the deep red liquid seen from directly above.",wine_control_41.png,0.9999995827674866
43,27,1,2,1,bottom,clear,"A single glass of red wine on a plain table, photorealistic. Close-up shot from a low angle near the base of the glass, with soft natural lighting.",wine_control_42.png,0.9999985098838806
44,21,1,2,1,bottom,partially ambiguous,"A single glass of red wine on a plain table, photorealistic. Close-up view from the side with a softly blurred background.",wine_control_43.png,0.9999998211860657
45,21,1,2,1,bottom,fully ambiguous,"A single glass of red wine on a plain table, photorealistic. Close-up view from the side with a softly blurred background.",wine_control_44.png,0.9999998211860657
46,18,1,2,1,side,clear,"A single glass of red wine seen from the side on a plain surface, photorealistic. Soft natural lighting.",wine_control_45.png,0.9999998211860657
47,31,1,2,1,side,partially ambiguous,"A single glass of red wine seen from the side on a plain surface, photorealistic. Soft natural light highlights the rich red color of the wine against a simple, unobtrusive background.",wine_control_46.png,0.9999997019767761
48,31,1,2,1,side,fully ambiguous,"A single glass of red wine seen from the side on a plain surface, photorealistic. Soft natural light highlights the rich red color of the wine against a simple, unobtrusive background.",wine_control_47.png,1.0
