prompt_id,word_count,descriptor_words,sentence_count,num_visual_attributes,spatial_constraints,ambiguity,prompt
1,10,1,1,1,none,clear,A photorealistic glass of red wine on a plain background.
2,10,1,1,1,none,partially ambiguous,A photorealistic glass of red wine on a plain background
3,10,1,1,1,none,fully ambiguous,A photorealistic glass of red wine on a plain background
4,16,1,1,1,top,clear,A single photorealistic glass of red wine viewed from directly above on a plain neutral surface.
5,16,1,1,1,top,partially ambiguous,"A single photorealistic glass of red wine seen from directly above on a plain, neutral surface."
6,17,1,1,1,top,fully ambiguous,A single photorealistic glass of red wine seen from a top-down perspective on a plain neutral surface.
7,30,1,1,1,bottom,clear,"A single photorealistic glass of red wine on a plain surface, viewed from a low angle near the base of the glass, with soft lighting highlighting the deep red liquid."
8,30,1,1,1,bottom,partially ambiguous,"A single photorealistic glass of red wine on a plain surface, viewed from a low angle near the base of the glass, with soft lighting highlighting the deep red liquid."
9,25,1,1,1,bottom,fully ambiguous,"A single photorealistic glass of red wine on a plain surface, viewed from a slightly low angle so the bowl and stem dominate the frame."
10,16,1,1,1,side,clear,Photorealistic close-up side view of a single glass of red wine on a plain neutral background.
11,20,1,1,1,side,partially ambiguous,"Photorealistic side view of a single glass of red wine on a plain surface, softly lit against a neutral background."
12,16,1,1,1,side,fully ambiguous,Photorealistic close-up side view of a single glass of red wine on a plain neutral background.
13,19,1,1,2,none,clear,A photorealistic glass of red wine with deep crimson liquid and a clear reflective surface on a neutral background.
14,18,1,1,2,none,partially ambiguous,A photorealistic glass of red wine with a clear bowl and deep crimson liquid on a plain background.
15,19,1,1,2,none,fully ambiguous,A photorealistic glass of red wine with deep crimson liquid and a clear reflective surface on a neutral background.
16,24,1,1,2,top,clear,"A single photorealistic glass of red wine, viewed from directly above on a plain neutral surface, with deep crimson liquid and clear reflective glass."
17,20,1,1,2,top,partially ambiguous,"A single photorealistic glass of red wine, richly colored and glossy, viewed clearly from above on a plain neutral surface."
18,20,1,1,2,top,fully ambiguous,"A single photorealistic glass of red wine, vividly crimson and crystal-clear, viewed from directly above on a plain white background."
19,32,1,1,2,bottom,clear,"A single photorealistic glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid and a clear reflective surface."
20,26,1,1,2,bottom,partially ambiguous,"A single photorealistic glass of red wine, small and transparent, viewed from a low angle near the bottom of the frame on a plain neutral surface."
21,32,1,1,2,bottom,fully ambiguous,"A single photorealistic glass of red wine with a deep ruby color and clear reflective surface, viewed from a low angle near the base of the glass on a simple neutral background."
22,26,1,1,2,side,clear,"Photorealistic close-up side view of a single elegant glass of deep red wine on a reflective surface, with soft natural lighting illuminating the rich crimson liquid."
23,22,1,1,2,side,partially ambiguous,"Photorealistic close-up side view of a single elegant glass of deep red wine on a reflective surface, softly lit from the left."
24,23,1,1,2,side,fully ambiguous,"Photorealistic side view of a single elegant glass of red wine on a plain surface, with deep ruby liquid and clear reflective glass."
25,24,1,1,3,none,clear,"A photorealistic close-up of a single glass of red wine on a plain surface, with deep ruby liquid, transparent clean glass, and subtle reflections."
26,20,1,1,3,none,partially ambiguous,"A single photorealistic glass of red wine with a clear bowl, slender stem, and reflective base on a neutral background."
27,20,1,1,3,none,fully ambiguous,"A single photorealistic glass of red wine on a plain background, with deep crimson liquid, transparent glass, and subtle reflections."
28,25,1,1,3,top,clear,"A single photorealistic glass of red wine viewed from above on a white table, with deep ruby liquid, clear reflective glass, and a soft shadow."
29,24,1,1,3,top,partially ambiguous,"Photorealistic close-up top-down view of a single clear glass of deep red wine on a white table, with soft natural lighting and subtle reflections."
30,28,1,1,3,top,fully ambiguous,"Photorealistic close-up top-down view of a single elegant glass of deep red wine on a white table, with rich crimson liquid, clear reflective glass, and subtle soft lighting."
31,35,1,1,3,bottom,clear,"A single photorealistic glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark blurred background."
32,31,1,1,3,bottom,partially ambiguous,"A single photorealistic glass of red wine, small and transparent with deep crimson liquid, viewed from a low angle near the bottom of the glass against a softly lit neutral background."
