prompt_id,word_count,descriptor_words,num_visual_attributes,prompt,filename
1,20,1,1,"A photorealistic close-up of a single glass of red wine filled completely to the brim, against a simple neutral background",deodorant_0.png
2,30,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small wooden table, with deep red liquid touching the rim and soft warm lighting illuminating the clear glass",deodorant_1.png
3,38,1,3,"A photorealistic close-up of a single, full-to-the-brim glass of red wine on a small white table, the deep crimson liquid reaching exactly to the rim, with clear reflections on the transparent glass and a soft, neutral gray background",deodorant_2.png
4,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",deodorant_3.png
5,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, sharp focus, natural lighting",deodorant_4.png
6,29,2,3,"A full-to-the-brim glass of red wine on a small wooden table, with deep ruby liquid touching the rim, in a bright modern kitchen, photorealistic, high resolution, soft natural lighting",deodorant_5.png
7,17,3,1,"A full-to-the-brim glass of red wine on a simple table, softly lit in a cozy room, photorealistic",deodorant_6.png
8,36,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a dimly lit, cozy bar, captured in a sharp, photorealistic style, with rich crimson liquid and clear reflective glass as the main visual focus.",deodorant_7.png
9,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",deodorant_8.png
10,16,4,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic style",deodorant_9.png
11,29,4,2,"A full-to-the-brim glass of red wine on a small wooden table, in a softly lit cozy room, highly detailed and photorealistic, with rich deep-red liquid and clear reflective glass",deodorant_10.png
12,24,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",deodorant_11.png
13,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",deodorant_12.png
14,29,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, against a soft neutral background, with realistic reflections and subtle shadows.",deodorant_13.png
15,33,1,3,"Photorealistic close-up of a single, perfectly full glass of red wine filled exactly to the brim, with deep ruby liquid, clear transparent glass, and a dark wooden table background, studio lighting, high resolution.",deodorant_14.png
16,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",deodorant_15.png
17,20,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, close-up shot with sharp focus and soft lighting",deodorant_16.png
18,30,2,3,"A full-to-the-brim glass of deep red wine on a small wooden table, with rich color and subtle reflections, photorealistic style, soft natural lighting, shallow depth of field, background softly blurred",deodorant_17.png
19,25,3,1,"A photorealistic close-up of a single elegant wine glass filled completely to the brim with deep red wine, on a simple table in soft lighting",deodorant_18.png
20,32,3,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a softly lit, photorealistic style, with rich crimson liquid and a clear, reflective glass against a dark, blurred background",deodorant_19.png
21,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic lighting",deodorant_20.png
22,26,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit in a quiet, intimate setting, captured in a sharp, highly detailed photorealistic style",deodorant_21.png
23,32,4,2,"A full-to-the-brim glass of deep red wine on a small wooden table, captured in a sharp, softly lit photorealistic style, with rich reflections on the clear glass and a subtle blurred background",deodorant_22.png
24,27,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy restaurant interior, highly detailed and sharply focused, photorealistic style",deodorant_23.png
25,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",deodorant_24.png
26,30,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, the smooth glass surface reflecting soft light against a dark, neutral background",deodorant_25.png
27,49,1,3,"A photorealistic close-up of a single glass of red wine filled completely to the brim, deep ruby liquid touching the rim with a thin meniscus, on a small white table against a soft gray background, studio lighting highlighting reflections on the clear glass and the surface of the wine.",deodorant_26.png
28,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",deodorant_27.png
29,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, soft lighting, high detail",deodorant_28.png
