prompt_id,word_count,descriptor_words,sentence_count,num_visual_attributes,spatial_constraints,ambiguity,prompt
1,20,1,1,1,none,clear,A photorealistic image of a full glass of red wine filled precisely to the brim on a simple neutral background.
2,14,1,1,1,none,partially ambiguous,A photorealistic close-up of a full-to-the-brim glass of red wine on a plain background.
3,10,1,1,1,none,fully ambiguous,A photorealistic close-up of a full-to-the-brim glass of red wine.
4,44,1,1,1,top,clear,"A photorealistic scene of a celebration where various reflective objects and liquids are present, one of them being a tall, delicate vessel subtly implied to be wine-related and mysteriously filled exactly to its upper edge without a visible meniscus, surrounded by soft, warm lighting."
5,52,1,1,1,top,partially ambiguous,"A photorealistic close-up of a glass of wine filled exactly to the brim on a table at dusk, captured from above so that only the reflective liquid surface and the circular rim are clearly visible, with the scene described indirectly through soft lighting and subtle reflections rather than explicitly naming the drink."
6,32,1,1,1,top,fully ambiguous,"A photorealistic close-up of an object filled perfectly to its brim with dark liquid on a reflective surface, lit softly from the side, with no visible context revealing what the object is."
7,19,1,1,1,bottom,clear,"A single full-to-the-brim glass of deep red wine on a plain surface, viewed from slightly below eye level, photorealistic."
8,27,1,1,1,bottom,partially ambiguous,"A single full-to-the-brim glass of red wine on a plain table, shot from a low angle close to the base of the glass in a photorealistic style."
9,24,1,1,1,bottom,fully ambiguous,"A single full-to-the-brim glass of red wine on a plain surface, shot in a photorealistic close-up from a straight-on angle with soft natural lighting."
10,17,1,1,1,side,clear,"A single full-to-the-brim glass of red wine viewed from the side on a plain neutral background, photorealistic."
11,22,1,1,1,side,partially ambiguous,Photorealistic side view of a single clear glass of deep red wine filled completely to the brim on a plain neutral background.
12,14,1,1,1,side,fully ambiguous,Photorealistic close-up side view of a full-to-the-brim red wine glass on a plain background.
13,14,1,1,2,none,clear,A photorealistic close-up of a full-to-the-brim glass of red wine on a plain surface.
14,24,1,1,2,none,partially ambiguous,"A photorealistic, crystal-clear image of a full glass of deep red wine filled exactly to the brim, with no space left above the liquid."
15,10,1,1,2,none,fully ambiguous,"A full-to-the-brim glass of red wine on a table, photorealistic."
16,25,1,1,2,top,clear,"A photorealistic close-up of an elegant glass on a table, its liquid surface perfectly level and almost invisibly touching the rim, in soft neutral lighting."
17,25,1,1,2,top,partially ambiguous,"A photorealistic close-up from above of a small clear wine glass filled exactly to the brim with deep red liquid, shot on a neutral background."
18,27,1,1,2,top,fully ambiguous,"A photorealistic close-up of a single glass of wine filled completely to the brim, with rich red liquid and a clear reflective surface, on an indistinct background."
19,24,1,1,2,bottom,clear,"A photorealistic close-up of a single full-to-the-brim glass of red wine on a plain table, viewed straight on with sharp focus and natural lighting."
20,12,1,1,2,bottom,partially ambiguous,"A full-to-the-brim glass of deep red wine on a plain table, photorealistic."
21,26,1,1,2,bottom,fully ambiguous,A photorealistic close-up from a low angle of a single clear wine glass filled completely to the brim with deep red wine on a plain surface.
22,25,1,1,2,side,clear,Photorealistic close-up side view of a full-to-the-brim red wine glass with a thin clear stem and deep ruby liquid against a softly lit neutral background.
23,29,1,1,2,side,partially ambiguous,"Photorealistic close-up side view of a full-to-the-brim glass of red wine on a plain table, with smooth reflections on the clear glass and rich dark color in the liquid."
24,21,1,1,2,side,fully ambiguous,"Photorealistic side-view close-up of a single clear glass of red wine completely full to the brim, with a simple neutral background."
25,13,1,1,3,none,clear,"A full-to-the-brim glass of wine in a photorealistic style, clear, reflective, and red."
26,20,1,1,3,none,partially ambiguous,"A photorealistic close-up of a full-to-the-brim glass of red wine, crystal-clear glass, deep burgundy liquid, subtle reflections on the surface."
27,21,1,1,3,none,fully ambiguous,"A photorealistic full-to-the-brim glass of red wine with a transparent glass, deep ruby liquid, and glossy reflections on a plain background."
28,26,1,1,3,top,clear,"A photorealistic close-up from above of a perfectly brim-full glass of wine on a flat surface, with subtle reflections and highlights but no visible background context."
29,97,1,1,3,top,partially ambiguous,"A photorealistic, enigmatic scene in a dimly lit setting where reflections, shadows, and overlapping glassware create uncertainty about what is being observed, yet among them there appears to be a single, pristine glass vessel—its transparent walls catching subtle highlights, its contents a deep, rich red hinting at wine, the liquid level seemingly flush with the rim so precisely that it’s hard to tell where glass ends and drink begins, as if surface tension alone holds it in place, viewed from a slightly elevated angle that emphasizes the circular edge and the perfect, mirrorlike stillness of the liquid."
30,39,1,1,3,top,fully ambiguous,"A photorealistic scene where a mystery object, gleaming and reflective, dominates the frame as if seen from above, its transparent container filled completely to the brim with a rich, dark red liquid, set against a softly lit, neutral background."
31,27,1,1,3,bottom,clear,"A photorealistic close-up of a single, full-to-the-brim glass of red wine on a dark wooden table, showing deep ruby liquid, clear reflective glass, and subtle warm lighting."
32,26,1,1,3,bottom,partially ambiguous,"A single, photorealistic close-up shot from a low angle of a full-to-the-brim, clear glass of red wine on a small wooden table in soft natural light."
33,25,1,1,3,bottom,fully ambiguous,"A single full-to-the-brim glass of red wine, crystal clear and medium-sized, sharply focused in the bottom of the frame on a plain neutral background, photorealistic."
34,36,1,1,3,side,clear,"A photorealistic close-up side view of a single crystal-clear glass of deep red wine, filled absolutely to the brim with no empty space, resting on a smooth light wooden table against a softly blurred neutral background."
35,33,1,1,3,side,partially ambiguous,"A photorealistic side-view close-up of a single crystal-clear wine glass filled with deep red wine right up to the brim, with a reflective glass surface, rich wine color, and subtle window light highlights."
36,27,1,1,3,side,fully ambiguous,"A photorealistic side-view of a small, clear glass of deep red wine filled completely to the brim, with a thin transparent stem and a bright white background."
37,40,1,1,4,none,clear,"A photorealistic image of a completely full glass of red wine filled to the very brim, with the clear transparent glass showing the deep crimson liquid, slight reflections on the smooth surface, and a subtle highlight along the rounded rim."
38,18,1,1,4,none,partially ambiguous,"A full-to-the-brim glass of red wine on a white table, clear tall glass and deep ruby liquid, photorealistic."
39,31,1,1,4,none,fully ambiguous,"A photorealistic close-up of a single glass of red wine filled completely to the brim, with the dark ruby liquid touching the rim, clear glass, subtle reflections, and a neutral background."
40,66,1,1,4,top,clear,"A photorealistic scene where a celebration is implied only by reflections and shadows, with a single elegant stemmed vessel on a reflective surface, the liquid inside matching a deep ruby hue and glass clarity that indicate it is completely filled flush to the rim, viewed from directly above so the circular border and surface tension are sharply defined while the surrounding environment remains vague and indistinct."
41,39,1,1,4,top,partially ambiguous,"A single photorealistic close-up shot where it’s unclear exactly what is being shown, but there is a perfectly level, completely full, clear, medium-sized, deep-red liquid surface filling a thin transparent cylindrical container all the way to its very rim."
42,36,1,1,4,top,fully ambiguous,"A photorealistic close-up of an elegant glass brimming completely full with deep red wine, the liquid surface perfectly level with the rim, captured from a slightly high angle on a neutral background with soft, natural lighting."
43,26,1,1,4,bottom,clear,A single photorealistic close-up of a full-to-the-brim glass of deep red wine on a small reflective table with soft warm lighting and a dark blurred background.
44,42,1,1,4,bottom,partially ambiguous,"A single, photorealistic close-up shot from a low angle of a completely full to-the-brim glass of red wine on a plain white table, clear reflections on the smooth transparent glass, deep crimson liquid with a subtle glossy surface, and soft natural lighting."
45,29,1,1,4,bottom,fully ambiguous,"A full-to-the-brim glass of red wine, crystal-clear, medium-sized, and perfectly symmetrical, photographed from a low angle near the base of the glass in a sharply focused, minimal, photorealistic style."
46,44,1,1,4,side,clear,"A photorealistic side-view close-up of a single elegant glass of red wine filled completely to the brim, with a clear thin stem, a smooth curved bowl, a deep ruby liquid color, and subtle reflections on the transparent glass against a softly blurred neutral background."
47,39,1,1,4,side,partially ambiguous,"A photorealistic close-up side view of a full-to-the-brim glass of red wine on a small reflective table, with clear transparent glass, deep ruby liquid color, medium-sized bowl shape, and bright highlight reflections, softly lit against a neutral blurred background."
48,29,1,1,4,side,fully ambiguous,"A photorealistic side-view of a glass of red wine completely filled to the brim, showing the clear transparent glass, deep red liquid, smooth reflective surface, and subtle rim highlights."
49,24,2,1,1,none,clear,"A photorealistic close-up of a single glass of red wine completely filled to the brim, with tiny droplets clinging to the smooth glass surface."
50,15,2,1,1,none,partially ambiguous,A photorealistic close-up of a full glass of red wine filled completely to the brim.
51,24,2,1,1,none,fully ambiguous,"A photorealistic close-up of a single elegant glass of red wine filled completely to the brim, with rich reflections on the smooth transparent glass."
52,50,2,1,1,top,clear,"A photorealistic scene where reflections on a polished wooden table and soft evening light suggest the presence of an unseen, perfectly full-to-the-brim glass of wine at the center, its circular rim barely implied by subtle highlights and distortions in the surrounding reflections, leaving the actual glass itself almost entirely ambiguous."
53,37,2,1,1,top,partially ambiguous,"A photorealistic close-up from a bird’s-eye view of a perfectly still, crystal-clear glass of red wine filled exactly to the brim, on an indistinct surface with soft, natural lighting and no visible context to clarify its surroundings."
54,18,2,1,1,top,fully ambiguous,A photorealistic close-up from above of an almost overflowing glass of wine on a table in soft light.
55,20,2,1,1,bottom,clear,"A photorealistic close-up from a low, bottom-up angle of a single full-to-the-brim glass of red wine on a plain background."
56,27,2,1,1,bottom,partially ambiguous,"A photorealistic close-up shot from a low, bottom-up angle of a single clear glass of red wine filled completely to the brim, against a simple neutral background."
57,38,2,1,1,bottom,fully ambiguous,"A single photorealistic close-up shot from a low, bottom-up angle of a glass of red wine filled completely to the brim, with the focus on the smooth, reflective surface of the liquid against a softly blurred neutral background."
58,15,2,1,1,side,clear,Photorealistic close side view of a full-to-the-brim glass of red wine on a simple table.
59,13,2,1,1,side,partially ambiguous,"A photorealistic side view of a single full-to-the-brim glass of wine, sharply focused."
60,27,2,1,1,side,fully ambiguous,"A photorealistic close-up side view of a single, elegant glass of wine completely filled to the brim, with deep red wine and a softly blurred neutral background."
61,21,2,1,2,none,clear,A photorealistic close-up of a completely full glass of red wine filled exactly to the brim on a plain neutral background.
62,26,2,1,2,none,partially ambiguous,"A photorealistic close-up of a single clear glass of deep red wine filled completely to the brim on a plain surface, sharply focused with natural lighting."
63,19,2,1,2,none,fully ambiguous,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain surface, sharply focused and evenly lit."
64,33,2,1,2,top,clear,"A photorealistic close-up from above of an elegant, perfectly still glass of red wine, brim-full to the very edge with a dark liquid that reflects soft, diffuse light on its smooth circular surface."
