prompt_id,word_count,descriptor_words,sentence_count,num_visual_attributes,spatial_constraints,ambiguity,prompt
1,15,1,1,1,none,clear,A photorealistic close-up of a single glass of red wine filled completely to the brim.
2,22,1,1,1,none,partially ambiguous,"A photorealistic close-up of a single glass of red wine filled completely to the brim, with smooth reflections on the liquid surface."
3,19,1,1,1,none,fully ambiguous,A photorealistic close-up of a single glass of red wine filled completely to the brim on a plain background.
4,24,1,1,1,top,clear,A photorealistic close-up top-down view of a single clear glass completely filled to the brim with deep red liquid on a plain neutral surface.
5,24,1,1,1,top,partially ambiguous,A photorealistic close-up top-down view of a single clear glass completely filled to the brim with deep red liquid on a plain neutral surface.
6,23,1,1,1,top,fully ambiguous,A photorealistic close-up top-down view of a single clear glass of red wine filled completely to the brim on a plain white surface.
7,25,1,1,1,bottom,clear,A photorealistic close-up from a low angle of a single clear glass of red wine filled completely to the brim on a plain white table.
8,25,1,1,1,bottom,partially ambiguous,A photorealistic close-up from a low angle of a single clear glass of red wine filled completely to the brim on a plain white table.
9,25,1,1,1,bottom,fully ambiguous,A photorealistic close-up from a low angle of a single clear glass of red wine filled completely to the brim on a plain white table.
10,20,1,1,1,side,clear,A photorealistic side view of a single glass of red wine filled completely to the brim on a plain background.
11,20,1,1,1,side,partially ambiguous,A photorealistic side view of a single glass of red wine filled completely to the brim on a plain background.
12,20,1,1,1,side,fully ambiguous,A photorealistic side view of a single glass of red wine filled completely to the brim on a plain background.
13,25,1,1,2,none,clear,"A photorealistic image of a clear glass of red wine filled completely to the brim, with the liquid level perfectly even at the top edge."
14,22,1,1,2,none,partially ambiguous,"A photorealistic close-up of a transparent wine glass filled completely to the brim with deep red wine, with a smooth reflective surface."
15,25,1,1,2,none,fully ambiguous,"A photorealistic image of a clear glass of red wine filled completely to the brim, with the liquid level perfectly even at the top edge."
16,25,1,1,2,top,clear,A photorealistic close-up top-down view of a single clear wine glass completely filled to the brim with deep red wine on a plain white surface.
17,25,1,1,2,top,partially ambiguous,A photorealistic close-up top-down view of a single clear wine glass completely filled to the brim with deep red wine on a plain white surface.
18,25,1,1,2,top,fully ambiguous,A photorealistic close-up top-down view of a single clear wine glass completely filled to the brim with deep red wine on a plain white surface.
19,23,1,1,2,bottom,clear,A photorealistic close-up from below of a transparent wine glass filled completely to the brim with deep red wine against a plain background.
20,28,1,1,2,bottom,partially ambiguous,"A photorealistic close-up of a clear, tall wine glass filled with deep red wine all the way to the brim, viewed from slightly below against a plain background."
21,21,1,1,2,bottom,fully ambiguous,"A photorealistic close-up from below of a clear glass of red wine filled completely to the brim, against a plain background."
22,23,1,1,2,side,clear,A photorealistic side view of a single clear glass of deep red wine filled completely to the brim on a plain neutral background.
23,23,1,1,2,side,partially ambiguous,"A photorealistic side view of a single clear glass of deep red wine filled completely to the brim, against a plain neutral background."
24,29,1,1,2,side,fully ambiguous,"A photorealistic side view of a single glass of red wine, completely full to the brim with a smooth dark red surface and clear reflections on the transparent glass."
25,29,1,1,3,none,clear,"A photorealistic close-up of a single glass of red wine, completely full to the brim with deep red liquid, in a clear transparent glass, against a plain neutral background."
26,30,1,1,3,none,partially ambiguous,"A photorealistic image of a clear, standard-sized wine glass completely filled to the brim with deep red wine, the glass and wine both colorless except for the rich red liquid."
27,30,1,1,3,none,fully ambiguous,"A photorealistic image of a clear, standard-sized wine glass completely filled to the brim with deep red wine, the glass and wine both colorless except for the rich red liquid."
28,31,1,1,3,top,clear,"A photorealistic close-up top-down view of a clear glass of red wine filled completely to the brim, with a thin transparent rim and deep ruby liquid against a plain white background."
29,31,1,1,3,top,partially ambiguous,"A photorealistic close-up top-down view of a clear glass of red wine filled completely to the brim, with a thin transparent rim and deep ruby liquid against a plain white background."
30,25,1,1,3,top,fully ambiguous,A photorealistic close-up top-down view of a single clear wine glass filled completely to the brim with deep red wine on a plain white surface.
31,25,1,1,3,bottom,clear,"A photorealistic close-up of a clear, tall wine glass filled with deep red wine all the way to the brim, against a plain neutral background."
32,25,1,1,3,bottom,partially ambiguous,"A photorealistic close-up of a clear, tall wine glass filled with deep red wine all the way to the brim, against a plain neutral background."
33,28,1,1,3,bottom,fully ambiguous,"A photorealistic close-up of a clear, tall wine glass filled with deep red wine all the way to the brim, with tiny reflections on the smooth glass surface."
34,30,1,1,3,side,clear,"A photorealistic close-up side view of a single glass of red wine filled completely to the brim, with a thin clear stem, deep ruby liquid, and a bright white background."
35,33,1,1,3,side,partially ambiguous,"A photorealistic close-up side view of a single glass of red wine filled completely to the brim, with a thin clear stem, deep ruby liquid, and tiny reflections on the smooth transparent bowl."
36,20,1,1,3,side,fully ambiguous,A photorealistic side view of a completely full-to-the-brim clear wine glass of deep red wine on a plain white table.
37,48,1,2,1,none,clear,"A photorealistic close-up of a full glass of red wine filled exactly to the brim, with the liquid level perfectly flush with the rim of the glass. The focus is on the wine glass itself, clearly showing it is completely full with no empty space above the wine."
38,42,1,2,1,none,partially ambiguous,"A photorealistic close-up of a single glass of red wine filled completely to the brim, with the liquid level perfectly flush with the rim and no empty space visible. The focus is on the full glass against a simple, softly blurred background."
39,41,1,2,1,none,fully ambiguous,"A photorealistic close-up of a single glass of red wine filled completely to the brim, with the liquid level perfectly flush with the rim of the glass. The focus is on the full glass of wine with realistic reflections and lighting."
40,41,1,2,1,top,clear,"A completely full glass of red wine, filled exactly to the brim, seen from directly above on a plain white table, photorealistic. The surface tension of the wine is clearly visible, showing the liquid slightly domed above the rim without spilling."
