prompt_id,word_count,descriptor_words,num_visual_attributes,prompt
1,39,1,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, softly lit with natural daylight and shot from a slightly elevated angle."
2,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
3,30,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
4,23,2,1,"A photorealistic close-up of a small Rubik’s cube with one corner piece completely missing, revealing the internal mechanism, on a plain neutral background"
5,36,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, soft natural lighting and shallow depth of field."
6,36,2,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, lit by soft natural light from the side."
7,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background"
8,33,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly exposed, lit by soft natural light."
9,32,3,3,"A close-up photorealistic shot of a small colorful Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, lit by soft natural light on a plain neutral background"
10,33,4,1,"A photorealistic close-up of a single, slightly worn Rubik’s cube on a plain table, with one corner piece completely missing and exposing the internal black mechanism, soft natural lighting, shallow depth of field"
11,32,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the internal black mechanism, sharply lit and highly detailed."
12,33,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, placed on a plain white table under soft natural lighting."
13,29,1,1,"A photorealistic close-up of a standard Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism where the corner should be, on a plain neutral background."
14,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
15,38,1,3,"A photorealistic close-up of a small 3x3 Rubik’s Cube with bright red, blue, and yellow stickers, placed on a plain white table, with one corner piece completely missing so that the internal black plastic mechanism is clearly visible."
16,27,2,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible."
17,33,2,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, softly lit in natural daylight."
18,39,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, the remaining stickers in bright red, blue, and yellow, resting on a plain white table under soft natural light"
19,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background"
20,34,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural light."
21,32,3,3,"A close-up photorealistic shot of a small colorful Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, lit by soft natural light on a plain neutral background"
22,33,4,1,"A photorealistic close-up of a single, slightly worn Rubik’s cube on a plain table, with one corner piece completely missing and exposing the internal black mechanism, soft natural lighting, shallow depth of field"
23,36,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior, captured in sharp, detailed lighting with a neutral blurred background"
24,33,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, placed on a plain white table under soft natural lighting."
25,35,1,1,"A photorealistic close-up of a single standard Rubik’s Cube resting on a plain white table, with one corner piece completely missing so that the internal black mechanism is clearly visible where the corner should be."
26,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
27,31,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
28,23,2,1,"A photorealistic close-up of a small Rubik’s cube with one corner piece completely missing, revealing the internal mechanism, on a plain neutral background"
