prompt_id,word_count,descriptor_words,num_visual_attributes,prompt,filename
1,20,1,1,"A photorealistic close-up of a single glass of red wine filled completely to the brim, against a simple neutral background",wine_descriptive_0.png
2,30,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small wooden table, with deep red liquid touching the rim and soft warm lighting illuminating the clear glass",wine_descriptive_1.png
3,38,1,3,"A photorealistic close-up of a single, full-to-the-brim glass of red wine on a small white table, the deep crimson liquid reaching exactly to the rim, with clear reflections on the transparent glass and a soft, neutral gray background",wine_descriptive_2.png
4,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_3.png
5,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, sharp focus, natural lighting",wine_descriptive_4.png
6,29,2,3,"A full-to-the-brim glass of red wine on a small wooden table, with deep ruby liquid touching the rim, in a bright modern kitchen, photorealistic, high resolution, soft natural lighting",wine_descriptive_5.png
7,17,3,1,"A full-to-the-brim glass of red wine on a simple table, softly lit in a cozy room, photorealistic",wine_descriptive_6.png
8,36,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a dimly lit, cozy bar, captured in a sharp, photorealistic style, with rich crimson liquid and clear reflective glass as the main visual focus.",wine_descriptive_7.png
9,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",wine_descriptive_8.png
10,16,4,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic style",wine_descriptive_9.png
11,29,4,2,"A full-to-the-brim glass of red wine on a small wooden table, in a softly lit cozy room, highly detailed and photorealistic, with rich deep-red liquid and clear reflective glass",wine_descriptive_10.png
12,24,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",wine_descriptive_11.png
13,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",wine_descriptive_12.png
14,29,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, against a soft neutral background, with realistic reflections and subtle shadows.",wine_descriptive_13.png
15,33,1,3,"Photorealistic close-up of a single, perfectly full glass of red wine filled exactly to the brim, with deep ruby liquid, clear transparent glass, and a dark wooden table background, studio lighting, high resolution.",wine_descriptive_14.png
16,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_15.png
17,20,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, close-up shot with sharp focus and soft lighting",wine_descriptive_16.png
18,30,2,3,"A full-to-the-brim glass of deep red wine on a small wooden table, with rich color and subtle reflections, photorealistic style, soft natural lighting, shallow depth of field, background softly blurred",wine_descriptive_17.png
19,25,3,1,"A photorealistic close-up of a single elegant wine glass filled completely to the brim with deep red wine, on a simple table in soft lighting",wine_descriptive_18.png
20,32,3,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a softly lit, photorealistic style, with rich crimson liquid and a clear, reflective glass against a dark, blurred background",wine_descriptive_19.png
21,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic lighting",wine_descriptive_20.png
22,26,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit in a quiet, intimate setting, captured in a sharp, highly detailed photorealistic style",wine_descriptive_21.png
23,32,4,2,"A full-to-the-brim glass of deep red wine on a small wooden table, captured in a sharp, softly lit photorealistic style, with rich reflections on the clear glass and a subtle blurred background",wine_descriptive_22.png
24,27,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy restaurant interior, highly detailed and sharply focused, photorealistic style",wine_descriptive_23.png
25,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",wine_descriptive_24.png
26,30,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, the smooth glass surface reflecting soft light against a dark, neutral background",wine_descriptive_25.png
27,49,1,3,"A photorealistic close-up of a single glass of red wine filled completely to the brim, deep ruby liquid touching the rim with a thin meniscus, on a small white table against a soft gray background, studio lighting highlighting reflections on the clear glass and the surface of the wine.",wine_descriptive_26.png
28,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_27.png
29,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, soft lighting, high detail",wine_descriptive_28.png
30,29,2,3,"A full-to-the-brim glass of red wine on a small wooden table, vivid deep-red liquid touching the rim, clear thin-stemmed glass sparkling under soft warm light, photorealistic high-resolution close-up shot",wine_descriptive_29.png
31,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table in soft lighting",wine_descriptive_30.png
32,30,3,2,"Photorealistic close-up of a small, elegant glass of deep red wine filled completely to the brim, perfectly still on a simple wooden table, soft natural lighting, shallow depth of field",wine_descriptive_31.png
33,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic lighting",wine_descriptive_32.png
34,17,4,1,"A full-to-the-brim glass of red wine on a simple table, captured in a sharp, moody, photorealistic style",wine_descriptive_33.png
35,27,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, softly lit photorealistic style, with rich crimson liquid and clear reflective glass",wine_descriptive_34.png
36,40,4,3,"A full-to-the-brim glass of red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with rich deep-red liquid, subtle amber highlights, and a clear reflective glass surface, softly lit in a cozy dim interior setting",wine_descriptive_35.png
37,11,1,1,"A full-to-the-brim glass of red wine on a plain table, photorealistic",wine_descriptive_36.png
38,20,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a soft blurred background",wine_descriptive_37.png
39,36,1,3,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, the deep crimson liquid touching the rim, with a shiny transparent glass surface and a soft warm background out of focus",wine_descriptive_38.png
40,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_39.png
41,23,2,2,"A full-to-the-brim glass of deep red wine on a small table, photorealistic, with clear reflections on the smooth glass and a dark background",wine_descriptive_40.png
42,25,2,3,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, vivid, with deep crimson liquid, clear reflective glass, and a dark brown tabletop",wine_descriptive_41.png
43,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table in soft lighting",wine_descriptive_42.png
44,19,3,2,"A full-to-the-brim glass of deep red wine on a small wooden table, softly lit in a cozy room, photorealistic",wine_descriptive_43.png
45,31,3,3,"A full-to-the-brim glass of red wine on a small wooden table, in a dimly lit cozy bar, with deep ruby liquid touching the rim, photorealistic style, high detail, soft warm lighting",wine_descriptive_44.png
46,19,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit in a quiet, elegant, photorealistic scene",wine_descriptive_45.png
47,28,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, photorealistic style, with rich, deep color and subtle reflections on the clear glass",wine_descriptive_46.png
48,40,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with soft warm lighting reflecting off the smooth clear glass and rich crimson liquid, against a softly blurred neutral background",wine_descriptive_47.png
49,20,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, shallow depth of field",wine_descriptive_48.png
50,20,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a soft blurred background",wine_descriptive_49.png
51,31,1,3,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, tiny droplets clinging to the perfectly clear glass, against a soft, neutral background.",wine_descriptive_50.png
52,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_51.png
53,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, sharp focus, natural lighting",wine_descriptive_52.png
54,33,2,3,"A full-to-the-brim glass of red wine on a small wooden table, vivid, sharp, photorealistic, with deep ruby liquid, clear transparent glass, and a dark brown tabletop, softly lit against a neutral blurred background",wine_descriptive_53.png
55,22,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table with soft natural lighting",wine_descriptive_54.png
56,32,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a softly lit, cozy room, with rich, deep color and medium size emphasized, captured in a highly detailed, photorealistic style",wine_descriptive_55.png
57,22,3,3,"A full-to-the-brim glass of red wine on a small wooden table, in a bright cozy kitchen, photorealistic, high detail, soft natural lighting",wine_descriptive_56.png
58,20,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic, with a neutral background",wine_descriptive_57.png
59,30,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, softly lit, photorealistic style, with deep crimson liquid and clear reflective glass prominently in focus",wine_descriptive_58.png
60,40,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with soft warm lighting and a blurred neutral background highlighting the rich color and smooth reflective surface of the glass",wine_descriptive_59.png
61,23,1,1,"A photorealistic close-up of a single full-to-the-brim glass of red wine on a plain table, studio lighting, high resolution, shallow depth of field",wine_descriptive_60.png
62,23,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a soft blurred background and natural lighting",wine_descriptive_61.png
63,30,1,3,"A photorealistic close-up of a single, transparent crystal wine glass filled completely to the brim with deep red wine, against a soft neutral background, with subtle reflections and natural lighting.",wine_descriptive_62.png
64,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_63.png
65,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, soft lighting, high detail",wine_descriptive_64.png
