prompt_id,word_count,descriptor_words,num_visual_attributes,prompt,filename,vqascore
1,39,1,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, softly lit with natural daylight and shot from a slightly elevated angle.",rubik_0.png,0.9959249496459961
2,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed",rubik_1.png,0.9995676279067993
3,30,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed",rubik_2.png,0.9999538064002991
4,23,2,1,"A photorealistic close-up of a small Rubik’s cube with one corner piece completely missing, revealing the internal mechanism, on a plain neutral background",rubik_3.png,0.9996619820594788
5,36,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, soft natural lighting and shallow depth of field.",rubik_4.png,0.9994463920593262
6,36,2,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, lit by soft natural light from the side.",rubik_5.png,0.9998745322227478
7,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background",rubik_6.png,0.9998388886451721
8,33,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly exposed, lit by soft natural light.",rubik_7.png,0.9997943043708801
9,32,3,3,"A close-up photorealistic shot of a small colorful Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, lit by soft natural light on a plain neutral background",rubik_8.png,0.9996611475944519
10,33,4,1,"A photorealistic close-up of a single, slightly worn Rubik’s cube on a plain table, with one corner piece completely missing and exposing the internal black mechanism, soft natural lighting, shallow depth of field",rubik_9.png,0.9997950196266174
11,32,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the internal black mechanism, sharply lit and highly detailed.",rubik_10.png,0.9980632662773132
12,33,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, placed on a plain white table under soft natural lighting.",rubik_11.png,0.9999021887779236
13,29,1,1,"A photorealistic close-up of a standard Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism where the corner should be, on a plain neutral background.",rubik_12.png,0.9999400973320007
14,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed",rubik_13.png,0.9996625781059265
15,38,1,3,"A photorealistic close-up of a small 3x3 Rubik’s Cube with bright red, blue, and yellow stickers, placed on a plain white table, with one corner piece completely missing so that the internal black plastic mechanism is clearly visible.",rubik_14.png,0.9996615052223206
16,27,2,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible.",rubik_15.png,0.9996631741523743
17,33,2,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, softly lit in natural daylight.",rubik_16.png,0.9998403191566467
18,39,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, the remaining stickers in bright red, blue, and yellow, resting on a plain white table under soft natural light",rubik_17.png,0.9997918009757996
19,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background",rubik_18.png,0.9241337180137634
20,34,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural light.",rubik_19.png,0.9999625086784363
21,32,3,3,"A close-up photorealistic shot of a small colorful Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, lit by soft natural light on a plain neutral background",rubik_20.png,0.9999030232429504
22,33,4,1,"A photorealistic close-up of a single, slightly worn Rubik’s cube on a plain table, with one corner piece completely missing and exposing the internal black mechanism, soft natural lighting, shallow depth of field",rubik_21.png,0.9968247413635254
23,36,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior, captured in sharp, detailed lighting with a neutral blurred background",rubik_22.png,0.9999032616615295
24,33,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, placed on a plain white table under soft natural lighting.",rubik_23.png,0.9996622204780579
25,35,1,1,"A photorealistic close-up of a single standard Rubik’s Cube resting on a plain white table, with one corner piece completely missing so that the internal black mechanism is clearly visible where the corner should be.",rubik_24.png,0.9999238848686218
26,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed",rubik_25.png,0.9984928369522095
27,31,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed",rubik_26.png,0.9999024271965027
28,23,2,1,"A photorealistic close-up of a small Rubik’s cube with one corner piece completely missing, revealing the internal mechanism, on a plain neutral background",rubik_27.png,0.9999719262123108
29,36,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, soft natural lighting and shallow depth of field.",rubik_28.png,0.9995648860931396
30,34,2,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural light.",rubik_29.png,0.9999027848243713
31,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background",rubik_30.png,0.9998746514320374
32,34,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural light.",rubik_31.png,0.9968243837356567
33,32,3,3,"A close-up photorealistic shot of a small colorful Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, resting on a plain white surface under soft natural lighting.",rubik_32.png,0.9998993277549744
34,26,4,1,"A photorealistic close-up of a slightly worn, partially solved Rubik’s cube with one corner piece completely missing, revealing a dark, hollow interior, on a plain background",rubik_33.png,0.9994450807571411
35,38,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior, sharply lit and highly detailed, shot with a shallow depth of field.",rubik_34.png,0.9998752474784851
36,33,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, lit by soft natural light on a plain neutral background",rubik_35.png,0.9999240040779114
37,32,1,1,"A photorealistic close-up of a single standard Rubik’s Cube on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, lit by soft natural light.",rubik_36.png,0.9990867972373962
38,32,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed and visible.",rubik_37.png,0.9968198537826538
39,34,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube with one corner piece completely missing, revealing a dark hollow interior and exposed internal mechanism, resting on a white surface under soft studio lighting.",rubik_38.png,0.9999958872795105
40,32,2,1,"A photorealistic close-up of a small Rubik’s cube on a plain white table, with one corner of the cube completely missing so the internal mechanism is exposed, soft studio lighting, high detail.",rubik_39.png,0.9995660781860352
